A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI
0	0	0	1	   0	   3	   1	   1		2.50	16:40:50.145770	('Encryption  ',)
0	0	0	1	   0	   3	   1	   1		2.50	16:40:50.145770	('WEP         ',)
1	0	0	0	   1	   0	   1	   2		5.00	16:40:50.214965	('Encryption  ',)
1	0	0	0	   1	   0	   1	   2		5.00	16:40:50.214965	('WEP         ',)
1	1	1	0	   2	   1	   1	   3		7.49	16:40:50.296796	('Encryption  ',)
1	1	1	0	   2	   1	   1	   3		7.49	16:40:50.296796	('WEP         ',)
0	1	1	1	   3	   2	   1	   4		9.99	16:40:50.488853	('Encryption  ',)
0	1	1	1	   3	   2	   1	   4		9.99	16:40:50.488853	('WEP         ',)
1	0	0	1	   1	   3	   2	   6		14.99	16:40:50.582630	('Encryption  ',)
1	0	0	1	   1	   3	   2	   6		14.99	16:40:50.582630	('WEP         ',)
1	1	1	0	   2	   1	   1	   7		17.48	16:40:50.633728	('Encryption  ',)
1	1	1	0	   2	   1	   1	   7		17.48	16:40:50.633728	('WEP         ',)
0	1	1	1	   3	   2	   1	   8		19.98	16:40:50.762729	('Encryption  ',)
0	1	1	1	   3	   2	   1	   8		19.98	16:40:50.762729	('WEP         ',)
0	0	0	1	   0	   3	   1	   9		22.48	16:40:50.823454	('Encryption  ',)
0	0	0	1	   0	   3	   1	   9		22.48	16:40:50.823454	('WEP         ',)
1	0	0	0	   1	   0	   1	  10		24.98	16:40:50.878952	('Encryption  ',)
1	0	0	0	   1	   0	   1	  10		24.98	16:40:50.878952	('WEP         ',)
1	1	1	0	   2	   1	   1	  11		27.47	16:40:50.932233	('Encryption  ',)
1	1	1	0	   2	   1	   1	  11		27.47	16:40:50.932233	('WEP         ',)
0	1	1	1	   3	   2	   1	  12		29.97	16:40:51.049649	('Encryption  ',)
0	1	1	1	   3	   2	   1	  12		29.97	16:40:51.049649	('WEP         ',)
0	0	0	1	   0	   3	   1	  13		32.47	16:40:51.121431	('Encryption  ',)
0	0	0	1	   0	   3	   1	  13		32.47	16:40:51.121431	('WEP         ',)
1	0	0	0	   1	   0	   1	  14		34.97	16:40:51.175461	('Encryption  ',)
1	0	0	0	   1	   0	   1	  14		34.97	16:40:51.175461	('WEP         ',)
1	1	1	0	   2	   1	   1	  15		37.46	16:40:51.227548	('Encryption  ',)
1	1	1	0	   2	   1	   1	  15		37.46	16:40:51.227548	('WEP         ',)
0	1	1	1	   3	   2	   1	  16		39.96	16:40:51.336006	('Encryption  ',)
0	1	1	1	   3	   2	   1	  16		39.96	16:40:51.336006	('WEP         ',)
1	0	0	1	   1	   3	   2	  18		44.96	16:40:51.414795	('Encryption  ',)
1	0	0	1	   1	   3	   2	  18		44.96	16:40:51.414795	('WEP         ',)
1	1	1	0	   2	   1	   1	  19		47.45	16:40:51.465456	('Encryption  ',)
1	1	1	0	   2	   1	   1	  19		47.45	16:40:51.465456	('WEP         ',)
0	1	1	1	   3	   2	   1	  20		49.95	16:40:51.552472	('Encryption  ',)
0	1	1	1	   3	   2	   1	  20		49.95	16:40:51.552472	('WEP         ',)
1	0	0	1	   1	   3	   2	  22		54.95	16:40:51.650663	('Encryption  ',)
1	0	0	1	   1	   3	   2	  22		54.95	16:40:51.650663	('WEP         ',)
1	1	1	0	   2	   1	   1	  23		57.44	16:40:51.702250	('Encryption  ',)
1	1	1	0	   2	   1	   1	  23		57.44	16:40:51.702250	('WEP         ',)

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI
0	1	1	1	   3	   2	   1	  24		59.94	16:40:51.852956	('Encryption  ',)
0	1	1	1	   3	   2	   1	  24		59.94	16:40:51.852956	('WEP         ',)
0	0	0	1	   0	   3	   1	  25		62.44	16:40:51.908930	('Encryption  ',)
0	0	0	1	   0	   3	   1	  25		62.44	16:40:51.908930	('WEP         ',)
1	0	0	0	   1	   0	   1	  26		64.94	16:40:51.963721	('Encryption  ',)
1	0	0	0	   1	   0	   1	  26		64.94	16:40:51.963721	('WEP         ',)
1	1	1	0	   2	   1	   1	  27		67.43	16:40:52.018325	('Encryption  ',)
1	1	1	0	   2	   1	   1	  27		67.43	16:40:52.018325	('WEP         ',)
0	1	1	1	   3	   2	   1	  28		69.93	16:40:52.095005	('Encryption  ',)
0	1	1	1	   3	   2	   1	  28		69.93	16:40:52.095005	('WEP         ',)
0	0	0	1	   0	   3	   1	  29		72.43	16:40:52.148059	('Encryption  ',)
0	0	0	1	   0	   3	   1	  29		72.43	16:40:52.148059	('WEP         ',)
1	0	0	0	   1	   0	   1	  30		74.93	16:40:52.200580	('Encryption  ',)
1	0	0	0	   1	   0	   1	  30		74.93	16:40:52.200580	('WEP         ',)
1	1	1	0	   2	   1	   1	  31		77.42	16:40:52.271859	('Encryption  ',)
1	1	1	0	   2	   1	   1	  31		77.42	16:40:52.271859	('WEP         ',)
0	1	1	1	   3	   2	   1	  32		79.92	16:40:52.409969	('Encryption  ',)
0	1	1	1	   3	   2	   1	  32		79.92	16:40:52.409969	('WEP         ',)
0	0	0	1	   0	   3	   1	  33		82.42	16:40:52.474789	('Encryption  ',)
0	0	0	1	   0	   3	   1	  33		82.42	16:40:52.474789	('WEP         ',)
1	0	0	0	   1	   0	   1	  34		84.92	16:40:52.528297	('Encryption  ',)
1	0	0	0	   1	   0	   1	  34		84.92	16:40:52.528297	('WEP         ',)
1	1	1	0	   2	   1	   1	  35		87.41	16:40:52.587763	('Encryption  ',)
1	1	1	0	   2	   1	   1	  35		87.41	16:40:52.587763	('WEP         ',)
0	1	1	1	   3	   2	   1	  36		89.91	16:40:52.700229	('Encryption  ',)
0	1	1	1	   3	   2	   1	  36		89.91	16:40:52.700229	('WEP         ',)
0	0	0	1	   0	   3	   1	  37		92.41	16:40:52.781719	('Encryption  ',)
0	0	0	1	   0	   3	   1	  37		92.41	16:40:52.781719	('WEP         ',)
1	0	0	0	   1	   0	   1	  38		94.91	16:40:52.834035	('Encryption  ',)
1	0	0	0	   1	   0	   1	  38		94.91	16:40:52.834035	('WEP         ',)
1	1	1	0	   2	   1	   1	  39		97.40	16:40:52.885069	('Encryption  ',)
1	1	1	0	   2	   1	   1	  39		97.40	16:40:52.885069	('WEP         ',)
0	1	1	1	   3	   2	   1	  40		99.90	16:40:53.019538	('Encryption  ',)
0	1	1	1	   3	   2	   1	  40		99.90	16:40:53.019538	('WEP         ',)
0	0	0	1	   0	   3	   1	  41		102.40	16:40:53.093385	('Encryption  ',)
0	0	0	1	   0	   3	   1	  41		102.40	16:40:53.093385	('WEP         ',)
1	0	0	0	   1	   0	   1	  42		104.90	16:40:53.147509	('Encryption  ',)
1	0	0	0	   1	   0	   1	  42		104.90	16:40:53.147509	('WEP         ',)
1	1	1	0	   2	   1	   1	  43		107.39	16:40:53.224089	('Encryption  ',)
1	1	1	0	   2	   1	   1	  43		107.39	16:40:53.224089	('WEP         ',)

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI

