
A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	Name	Address	Quality	Signal	Channel	Encryption
0	1	0	1	   3	   3	   1	   1		2.50	17:28:07.094552	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
0	0	0	0	   0	   0	   1	   2		5.00	17:28:07.158009	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
1	0	1	0	   1	   1	   1	   3		7.49	17:28:07.205443	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
1	1	1	1	   2	   2	   1	   4		9.99	17:28:07.248593	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
0	1	0	1	   3	   3	   1	   5		12.49	17:28:07.351110	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
0	0	0	0	   0	   0	   1	   6		14.99	17:28:07.412158	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
1	0	1	0	   1	   1	   1	   7		17.48	17:28:07.459509	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
1	1	1	1	   2	   2	   1	   8		19.98	17:28:07.508111	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
0	1	0	1	   3	   3	   1	   9		22.48	17:28:07.592056	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
1	0	1	0	   1	   1	   2	  11		27.47	17:28:07.666489	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	Name	Address	Quality	Signal	Channel	Encryption
1	1	1	1	   2	   2	   1	  12		29.97	17:28:07.732244	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
0	1	0	1	   3	   3	   1	  13		32.47	17:28:07.807623	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
1	0	1	0	   1	   1	   2	  15		37.46	17:28:07.889481	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
1	1	1	1	   2	   2	   1	  16		39.96	17:28:07.934323	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
0	1	0	1	   3	   3	   1	  17		42.46	17:28:08.046144	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
0	0	0	0	   0	   0	   1	  18		44.96	17:28:08.098966	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
1	0	1	0	   1	   1	   1	  19		47.45	17:28:08.146792	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
1	1	1	1	   2	   2	   1	  20		49.95	17:28:08.191658	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
0	1	0	1	   3	   3	   1	  21		52.45	17:28:08.304438	ACEA_iCELLigence_431121111566  00:1D:C9:91:00:17   39 %    -83 dBm  1        Open        
