A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
0	1	1	1	   3	   2	   1	   1		2.50	15:34:01.975745	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
1	1	0	1	   2	   3	  -1	   0		0.00	15:34:03.549017	[['Name', 'Address', 'Quality', 'Signal', 'Channel', 'Encryption']]
