A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	BSSID	RSSI
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	Name          
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	Address            
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	Quality  
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	Signal   
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	Channel  
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	Encryption  
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	Imperial-WPA  
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	E0:0E:DA:89:5A:40  
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	 51 %    
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	-74 dBm  
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	6        
0	1	1	1	   3	   2	   1	   1		2.50	16:38:25.665479	WEP         
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	Name          
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	Address            
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	Quality  
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	Signal   
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	Channel  
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	Encryption  
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	Imperial-WPA  
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	E0:0E:DA:89:5A:40  
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	 51 %    
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	-74 dBm  
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	6        
0	0	0	1	   0	   3	   1	   2		5.00	16:38:25.898362	WEP         
1	0	0	0	   1	   0	   1	   3		7.49	16:38:26.156233	Name          
1	0	0	0	   1	   0	   1	   3		7.49	16:38:26.156233	Address            
1	0	0	0	   1	   0	   1	   3		7.49	16:38:26.156233	Quality  
1	0	0	0	   1	   0	   1	   3		7.49	16:38:26.156233	Signal   
