
A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	Name	Address	Quality	Signal	Channel	Encryption
1	1	1	1	   2	   2	   1	   1		2.50	17:26:20.485536	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	1	0	1	   3	   3	   1	   2		5.00	17:26:20.642528	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	0	0	0	   0	   0	   1	   3		7.49	17:26:20.690327	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	0	1	0	   1	   1	   1	   4		9.99	17:26:20.727096	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	1	1	1	   2	   2	   1	   5		12.49	17:26:20.790869	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	1	0	1	   3	   3	   1	   6		14.99	17:26:20.951384	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	0	0	0	   0	   0	   1	   7		17.48	17:26:21.002109	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	0	1	0	   1	   1	   1	   8		19.98	17:26:21.034786	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	1	1	1	   2	   2	   1	   9		22.48	17:26:21.081124	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	1	0	1	   3	   3	   1	  10		24.98	17:26:21.204672	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	Name	Address	Quality	Signal	Channel	Encryption
0	0	0	0	   0	   0	   1	  11		27.47	17:26:21.252970	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	0	1	0	   1	   1	   1	  12		29.97	17:26:21.287966	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	1	1	1	   2	   2	   1	  13		32.47	17:26:21.322105	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	1	0	1	   3	   3	   1	  14		34.97	17:26:21.452479	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	0	0	0	   0	   0	   1	  15		37.46	17:26:21.501433	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	0	1	0	   1	   1	   1	  16		39.96	17:26:21.534559	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	1	1	1	   2	   2	   1	  17		42.46	17:26:21.581350	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	1	0	1	   3	   3	   1	  18		44.96	17:26:21.716616	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	0	0	0	   0	   0	   1	  19		47.45	17:26:21.763315	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	0	1	0	   1	   1	   1	  20		49.95	17:26:21.795856	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         

A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME	Name	Address	Quality	Signal	Channel	Encryption
1	1	1	1	   2	   2	   1	  21		52.45	17:26:21.843400	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	1	0	1	   3	   3	   1	  22		54.95	17:26:21.961619	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	0	0	0	   0	   0	   1	  23		57.44	17:26:22.006269	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	0	1	0	   1	   1	   1	  24		59.94	17:26:22.038438	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	1	1	1	   2	   2	   1	  25		62.44	17:26:22.082205	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	1	0	1	   3	   3	   1	  26		64.94	17:26:22.230150	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
0	0	0	0	   0	   0	   1	  27		67.43	17:26:22.281646	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	0	1	0	   1	   1	   1	  28		69.93	17:26:22.316561	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
1	1	1	1	   2	   2	   1	  29		72.43	17:26:22.368425	Imperial-WPA  E0:0E:DA:89:5A:40   53 %    -73 dBm  6        WEP         
