A	B	LAST_A	LAST_B	SEQ	L_SEQ	DELTA	ACC_DELTA	LENGTH(cm)	TIME
0	1	1	1	   3	   2	   1	   1		2.50	16:23:29.186814
0	0	0	1	   0	   3	   1	   2		5.00	16:23:29.273351
1	0	0	0	   1	   0	   1	   3		7.49	16:23:29.343921
1	1	1	0	   2	   1	   1	   4		9.99	16:23:29.378173
0	1	1	1	   3	   2	   1	   5		12.49	16:23:29.549356
0	0	0	1	   0	   3	   1	   6		14.99	16:23:29.609465
1	0	0	0	   1	   0	   1	   7		17.48	16:23:29.651106
1	1	1	0	   2	   1	   1	   8		19.98	16:23:29.724140
0	1	1	1	   3	   2	   1	   9		22.48	16:23:29.904994
0	0	0	1	   0	   3	   1	  10		24.98	16:23:29.979124
1	0	0	0	   1	   0	   1	  11		27.47	16:23:30.004498
1	1	1	0	   2	   1	   1	  12		29.97	16:23:30.065260
0	1	1	1	   3	   2	   1	  13		32.47	16:23:30.235572
0	0	0	1	   0	   3	   1	  14		34.97	16:23:30.308301
1	0	0	0	   1	   0	   1	  15		37.46	16:23:30.337857
1	1	1	0	   2	   1	   1	  16		39.96	16:23:30.388523
0	1	1	1	   3	   2	   1	  17		42.46	16:23:30.563378
0	0	0	1	   0	   3	   1	  18		44.96	16:23:30.649368
1	0	0	0	   1	   0	   1	  19		47.45	16:23:30.747847
